species;lon;lat;municipality;adm1
Euterpe edulis;-53.043755;-25.364014;São Jorge d' Oeste;Paraná
Euterpe edulis;-50.148611;-29.650278;Maquiné;Rs
Euterpe edulis;-48.739722;-25.261389;Antonina;Paraná
Euterpe edulis;-49.865;-29.376944;Dom Pedro de Alcântara;Rs
Euterpe edulis;-48.485;-27.616667;Florianópolis;Sc
Euterpe edulis;-43.418333;-22.574722;Nova Iguaçu;Rio de Janeiro
Euterpe edulis;-40.31509;-19.58049;Santa Teresa;Espírito Santo
Euterpe edulis;-40.31509;-19.58049;Santa Teresa;Espírito Santo
Euterpe edulis;-40.31509;-19.58049;Santa Teresa;Espírito Santo
Euterpe edulis;-40.423266;-20.598417;Guarapari;Espírito Santo
Euterpe edulis;-40.31509;-19.58049;Santa Teresa;Espírito Santo
Euterpe edulis;-41.308;-20.19579;Domingos Martins;Espírito Santo
Euterpe edulis;-49.86;-29.07;Jacinto Machado;Santa Catarina
Euterpe edulis;-48.109611;-24.55275;Eldorado;Sp
Euterpe edulis;-50.212736;-29.976883;Osório;Rio Grande do Sul
Euterpe edulis;-54.413194;-25.603389;Foz do Iguaçu;Pr
Euterpe edulis;-53.87175;-25.215667;Céu Azul;Pr
Euterpe edulis;-49.076667;-26.118333;Itapoá;Santa Catarina
Euterpe edulis;-36.730597;-9.412631;Quebrangulo;Alagoas
Euterpe edulis;-36.435015;-9.244547;Quebrangulo;Alagoas
Euterpe edulis;-36.435015;-9.244547;Quebrangulo;Alagoas
Euterpe edulis;-53.955556;-25.306944;Matelândia;Es
Euterpe edulis;-51.970028;-23.871389;Fênix;Pr
Euterpe edulis;-48.385083;-25.177722;Guaraqueçaba;Pr
Euterpe edulis;-51.982417;-23.882806;Fênix;Pr
Euterpe edulis;-36.435914;-9.243979;Quebrangulo;Alagoas
Euterpe edulis;-47.380012;-24.038166;Tapiraí;São Paulo
Euterpe edulis;-37.966667;-12.166667;Entre Rios;Bahia
Euterpe edulis;-37.966667;-12.166667;Entre Rios;Bahia
Euterpe edulis;-39.719722;-13.586944;Wenceslau Guimarães;Bahia
Euterpe edulis;-49.364444;-26.926667;Rodeio;Santa Catarina
Euterpe edulis;-39.637139;-13.717056;Itamari;Bahia
Euterpe edulis;-39.637139;-13.717056;Itamari;Bahia
Euterpe edulis;-50.572694;-23.1495;Cornélio Procópio;Paraná
Euterpe edulis;-39.054722;-15.159722;Una;Bahia
Euterpe edulis;-43.000278;-22.771667;Teresópolis;Rio de Janeiro
Euterpe edulis;-43.000278;-22.771667;Teresópolis;Rio de Janeiro
Euterpe edulis;-46.516667;-22.583333;Socorro;São Paulo
Euterpe edulis;-40.162444;-18.362722;Pinheiros;Espírito Santo
Euterpe edulis;-41.838789;-20.643187;Espera Feliz;Minas Gerais
Euterpe edulis;-39.628333;-13.715278;Itamari;Bahia
Euterpe edulis;-39.635833;-13.718778;Itamari;Bahia
Euterpe edulis;-39.635583;-13.725611;Itamari;Bahia
